Model,MAE,MSE,R-squared
Linear Regression,2.6987924791497466,15.184676698036139,0.7380846873248351
Random Forest,1.7865137254901955,6.679319606471611,0.8847906927506315
Gradient Boosting,1.742296050872137,5.322972631369896,0.9081858594139905
